# JID                    RA         DEC        q      PA        Ag      Ar      Ai      z        TType   Re      RhalfMass   R235_i   RH      R1       LOGMASS  
  J005917.58-001239.70   14.82335   -0.21113   0.75   129.0     0.084   0.058   0.043   0.0449   5       7.68    8.6         15.86    20.07   23.24    10.37    
  J005940.35-004638.4    14.91817   -0.77736   0.56   79.0      0.109   0.076   0.056   0.017    -99     0.94    1.68        1.44     2.79    2.47     7.53     
  J005942.11+005459.76   14.9256    0.91649    0.84   40.0      0.091   0.063   0.047   0.0176   6       5.59    4.38        9.07     13.32   12.71    9.59     
  J005942.13+005459.5    14.92557   0.91655    0.81   40.0      0.091   0.063   0.047   0.0176   -99     5.63    4.26        9.1      13.5    12.67    9.56     
  J005956.53-011319.1    14.98555   -1.222     0.6    68.0      0.126   0.087   0.065   0.015    -99     1.11    2.16        1.69     3.09    3.26     7.99     
  J010107.77+005127.89   15.28264   0.85771    0.68   15.3      0.107   0.074   0.055   0.0272   2       2.62    2.67        7.58     10.67   9.87     9.83     
  J010116.81-010551.88   15.32013   -1.09798   0.76   18.0      0.125   0.087   0.064   0.0514   4       9.13    7.65        20.32    27.84   33.6     10.8     
  J010123.75-005710.37   15.34905   -0.95349   0.49   65.0      0.107   0.074   0.055   0.0507   -2      7.47    8.12        19.56    26.03   34.11    10.91    
  J010134.12-005920.7    15.3922    -0.98909   0.59   143.0     0.108   0.075   0.056   0.017    -99     1.21    2.76        1.62     3.17    3.01     7.84     
  J010259.49-004042.8    15.74791   -0.67857   0.97   40.0      0.117   0.081   0.06    0.0161   -99     1.27    1.75        2.28     3.64    4.04     8.61     
  J010301.72-010639.46   15.75723   -1.11113   0.88   94.71     0.134   0.093   0.069   0.0175   -2      2.45    3.67        7.94     11.67   18.56    10.38    
  J010312.61-001756.25   15.80249   -0.29907   0.59   164.0     0.124   0.086   0.064   0.0496   0       3.81    6.39        16.67    21.42   33.72    10.85    
  J010317.3-002028.1     15.82209   -0.34115   0.96   45.0      0.128   0.089   0.066   0.0178   -99     1.33    1.9         1.71     3.24    5.57     8.79     
  J010319.51-003522.80   15.83144   -0.58975   0.77   52.97     0.109   0.075   0.056   0.0184   -2      1.79    2.5         4.81     6.61    8.92     9.74     
  J010333.62-003625.5    15.8901    -0.60709   0.58   145.0     0.108   0.074   0.055   0.0176   -99     1.57    1.52        2.63     4.38    3.33     8.14     
  J010338.82-002928.25   15.91195   -0.49085   0.32   76.92     0.115   0.079   0.059   0.0174   6       5.45    5.29        9.89     13.47   11.79    8.95     
  J010338.84-002928.3    15.91184   -0.4912    0.4    79.0      0.115   0.079   0.059   0.0174   -99     4.81    4.49        8.91     12.31   11.13    9.04     
  J010351.63-002131.3    15.96516   -0.3587    0.94   120.0     0.134   0.093   0.069   0.0177   -99     2.58    3.14        4.09     6.64    8.17     9.3      
