# Post-processed data from Mosleh et al. 2020.
# Galaxies are selected in this file from the paper,
# with "Method 1" being preferred over "Method 2".
# Only galaxies with reliable efforts for either of
# those have been inclued, with around a 15%
# drop rate. These columns correspond to z, 10**logM*, 
# rM{I,II}, e_rM{I,II}, and a separate column provided
# to tell us if the galaxies were star forming or not.
# Data postprocessing by Josh Borrow on 20 Jan 2021.
# Column [],Redshift [],Stellar Mass [Solar_Mass],Half-Mass Radius [kpc],Half-Mass Radius Error [kpc],Star Forming []
499,1.2,117489755493.95303,1.145,0.05,1
500,0.75,34673685045.2531,2.688,0.044,1
501,0.48,12302687708.123812,1.04,0.036,0
502,1.03,69183097091.89363,4.212,0.094,1
503,1.08,51286138399.13659,1.565,0.049,0
504,0.74,39810717055.34969,1.754,0.044,0
505,0.55,37153522909.71728,1.617,0.038,0
506,0.76,14125375446.227554,1.815,0.044,1
507,1.23,47863009232.2638,7.745,0.092,0
508,0.35,18620871366.628654,3.351,0.05,1
509,1.2,120226443461.74132,1.095,0.05,0
510,1.02,40738027780.41122,3.14,0.052,1
511,0.37,26302679918.953815,2.766,0.031,1
512,0.65,24547089156.850334,2.455,0.042,1
513,1.25,21379620895.022324,2.654,0.112,1
514,0.69,8128305161.640995,3.199,0.048,1
515,1.17,85113803820.2376,3.472,0.05,0
516,0.5,23988329190.194946,5.131,0.037,1
517,1.21,30902954325.13592,3.041,0.125,0
518,0.67,7762471166.286927,2.234,0.042,1
519,0.42,7244359600.749891,5.481,0.078,1
520,1.13,23988329190.194946,2.811,0.097,1
521,0.75,50118723362.72715,0.749,0.044,0
522,1.18,12589254117.941662,11.821,0.966,1
523,0.98,8128305161.640995,2.584,0.048,1
524,1.24,33884415613.920204,1.901,0.05,0
525,0.82,50118723362.72715,1.227,0.045,0
526,1.28,16218100973.58933,4.268,0.05,1
527,1.04,48977881936.84457,3.784,0.073,1
528,1.25,9120108393.559114,2.404,0.05,1
529,1.23,9120108393.559114,2.249,0.05,1
