HRS no HIdef: galaxyname  logMHIMstar  Met_12+log(O/H)   logMHIMstar_low  Met_low  logMHIMstar_high  Met_high
JINGLE6     -0.4319992      8.6778593      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE7     -0.5570002      8.6783533      0.1425964      0.0500000      0.1425964      0.0500000
JINGLE8     -0.2770004      8.6528234      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE9      0.0179996      8.6848249      0.1294693      0.0500000      0.1294693      0.0500000
JINGLE12     -0.0220003      8.6244421      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE13      0.2579994      8.4940462      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE17      0.2280006      8.5975485      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE18      0.3879995      8.5308828      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE20     -1.0430002      8.5862761      0.1123919      0.0500000      0.1123919      0.0500000
JINGLE21      0.1879997      8.5489798      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE24      0.3619995      8.5691357      0.1124458      0.0500000      0.1124458      0.0500000
JINGLE27     -0.5299997      8.8659811      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE30     -0.3719997      8.8484421      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE31     -0.3020000      8.7643585      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE32     -0.1119995      8.4516449      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE35     -0.9319992      8.8360844      0.1123919      0.0500000      0.1123919      0.0500000
JINGLE38     -0.4020004      8.7022486      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE39      0.0979996      8.5959921      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE46      0.0080004      8.6442614      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE48     -0.3399992      8.7483387      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE50      0.2679996      8.6482792      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE52     -0.5500002      8.6693001      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE53     -0.6919994      8.6262693      0.1130300      0.0500000      0.1130300      0.0500000
JINGLE55     -1.1800003      8.8859005      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE57     -1.0290003      8.8524714      0.1129242      0.0500000      0.1129242      0.0500000
JINGLE61     -0.9020004      8.6977139      0.1123919      0.0500000      0.1123919      0.0500000
JINGLE63      0.0380001      8.4110298      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE69      0.0780001      8.6181393      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE73      0.1949997      8.7005510      0.1124144      0.0500000      0.1124144      0.0500000
JINGLE75     -0.4300003      8.7749319      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE78     -0.4480000      8.7539272      0.1126634      0.0500000      0.1126634      0.0500000
JINGLE79      0.0279999      8.7476177      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE80      0.0030003      8.7480574      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE83     -0.4600000      8.5469427      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE87     -1.1000004      8.7143116      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE88      0.0730000      8.7075615      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE92     -0.3299999      8.7640991      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE93      0.2180004      8.6493692      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE96      0.3930006      8.6300306      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE97     -0.1899996      8.8454952      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE98     -0.1700001      8.7037401      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE103      0.1929998      8.7895842      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE105     -0.3070002      8.8445330      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE107     -0.4400005      8.8546867      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE109     -0.6990004      8.7751436      0.1128279      0.0500000      0.1128279      0.0500000
JINGLE110      0.5980005      8.6617136      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE112     -0.3809996      8.7249393      0.1125951      0.0500000      0.1125951      0.0500000
JINGLE113      0.1379995      8.7540894      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE114     -0.5699997      8.7550764      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE115     -0.8240004      8.7349205      0.1137019      0.0500000      0.1137019      0.0500000
JINGLE117     -0.2550001      8.6686535      0.1128279      0.0500000      0.1128279      0.0500000
JINGLE128     -0.4300003      8.7984161      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE129     -0.9259996      8.8347435      0.1128279      0.0500000      0.1128279      0.0500000
JINGLE132     -0.8200006      8.7776556      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE133     -0.3000002      8.8433847      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE137     -0.2819996      8.6707726      0.1132700      0.0500000      0.1132700      0.0500000
JINGLE139     -0.5400000      8.7084293      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE140      0.2109995      8.4689941      0.1126635      0.0500000      0.1126635      0.0500000
JINGLE141     -0.1370001      8.7596941      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE143     -0.1900005      8.7915277      0.1242269      0.0500000      0.1242269      0.0500000
JINGLE145     -0.2370005      8.7133512      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE155     -0.9619999      8.7296267      0.1128279      0.0500000      0.1128279      0.0500000
JINGLE161      0.2930002      8.6620474      0.1124458      0.0500000      0.1124458      0.0500000
JINGLE162     -0.6840000      8.8734789      0.1125952      0.0500000      0.1125952      0.0500000
JINGLE164     -0.3610001      8.5827494      0.1125362      0.0500000      0.1125362      0.0500000
JINGLE166     -0.7600002      8.8347435      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE167     -0.3299999      8.5637455      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE168     -0.7469997      8.8347435      0.1125362      0.0500000      0.1125362      0.0500000
JINGLE169     -0.0120001      8.6373625      0.1126634      0.0500000      0.1126634      0.0500000
JINGLE170     -0.5749998      8.8007784      0.1127410      0.0500000      0.1127410      0.0500000
JINGLE172     -0.6260004      8.7731943      0.1127410      0.0500000      0.1127410      0.0500000
JINGLE174     -0.0260000      8.5800428      0.1142205      0.0500000      0.1142205      0.0500000
JINGLE176     -0.7930002      8.6634436      0.1130300      0.0500000      0.1130300      0.0500000
JINGLE178     -0.5190001      8.7897043      0.1123920      0.0500000      0.1123920      0.0500000
JINGLE181     -0.4869995      8.8043947      0.1130300      0.0500000      0.1130300      0.0500000
JINGLE185     -1.3540001      8.6668539      0.1127410      0.0500000      0.1127410      0.0500000
HAPLESS: galaxyname  logMHIMstar  Met_12+log(O/H)   logMHIMstar_low  Met_low  logMHIMstar_high  Met_high
CGCG019-084     -0.3470001      8.5901175      0.1645342      0.0500000      0.1583870      0.0500000
NGC5750     -1.5100002      8.7486830      0.2319753      0.0500000      0.0909328      0.0500000
PGC051719      0.0780001      8.3787098      0.1583870      0.0500000      0.1406569      0.0500000
UGC06877     -0.8570004      8.5823860      0.1188350      0.0500000      0.1583870      0.0500000
UGC09348     -0.4419994      8.4939766      0.1969323      0.0500000      0.1707950      0.0500000
PGC037392      0.0529995      8.3344612      0.1523562      0.0500000      0.1771671      0.0500000
UGC07396     -0.0020008      8.4446487      0.2319753      0.0500000      0.1707950      0.0500000
UM452     -0.5869999      8.2730713      0.2106387      0.0500000      0.1969323      0.0500000
UM491      0.8880005      8.2520428      0.1294694      0.0500000      0.1294694      0.0500000
HIGH: galaxyname  logMHIMstar  Met_12+log(O/H)   logMHIMstar_low  Met_low  logMHIMstar_high  Met_high
UGC06578      0.8029995      8.0419703      0.0909327      0.0500000      0.0909327      0.0500000
NGC4030     -0.7100000      8.8142748      0.1188349      0.0500000      0.1188349      0.0500000
UGC04996      0.4829998      8.4468727      0.1349964      0.0500000      0.1349964      0.0500000
NGC5496      0.5730000      8.3384829      0.0832992      0.0500000      0.0832992      0.0500000
NGC5584     -0.2119999      8.4879055      0.2037333      0.0500000      0.2037333      0.0500000
UGC09215      0.2480001      8.4001026      0.0767307      0.0500000      0.0767307      0.0500000
NGC5690     -0.4800005      8.7621565      0.1188350      0.0500000      0.1188350      0.0500000
NGC5691     -0.8500004      8.5701542      0.2219031      0.0500000      0.2219031      0.0500000
NGC5713     -0.5000000      8.7643213      0.1406569      0.0500000      0.1406569      0.0500000
NGC5740     -0.5400000      8.6826553      0.0994785      0.0500000      0.0994785      0.0500000
IC1011     -0.4300003      8.7348366      0.0994785      0.0500000      0.0994785      0.0500000
UGC07000     -0.0120001      8.3859510      0.2037333      0.0500000      0.2037333      0.0500000
UGC09470      0.2229996      8.1319809      0.1583870      0.0500000      0.1583870      0.0500000
UGC04684      0.2279997      8.5837679      0.1902366      0.0500000      0.1902366      0.0500000
