# downloaded from http://dustpedia.astro.noa.gr
# name,RA,DEC,dist_best,vhelio,HIflux,HIfluxerr,MHI,MHIerr,logMHI,logMHI_err,HI_ref,Flag
NGC4565,189.08655,25.98719,12.0781321978,1224.7976864,426.82333779525237,0.3294025484206473,1.4694665961786139E10,1.1340664886624273E7,10.167159718166243,3.351685007340066E-4,Haynes2018,3.0
NGC4567,189.1362,11.25785,30.0607413747,2263.77777926,24.288215126253377,0.14323294652312102,5.179728283176174E9,3.054599703974089E7,9.714306978237063,0.0025611597792103424,Haynes2018,3.0
NGC4568,189.1428,11.23878,18.9670538809,2236.80425762,25.11000061035156,nan,2.1318590235436473E9,nan,9.32875848209872,nan,Boselli2014,0.0
NGC4569,189.20805,13.16294,11.8576972721,-220.783269734,11.178114139535044,0.12030257480732315,3.709208616728159E8,3991973.44651728,8.569281260005878,0.0046742018584016165,Haynes2018,3.0
NGC4570,189.2226,7.2467,16.9043971409,1743.28871351,1.0,0.0,6.743903967655526E7,0.0,7.828911377361904,0.0,Boselli2014,1.0
NGC4571,189.2349,14.21721,19.3196943702,334.671472221,10.630000114440918,0.05999999799999999,9.3636630160166E8,5285228.244166351,8.971445775708277,0.002451358869491216,Haynes2018,0.0
NGC4578,189.37725,9.55511,16.1435923747,2270.7709145,0.8399999737739563,0.0,5.1664429927475914E7,0.0,7.713191641685811,0.0,Boselli2014,1.0
NGC4579,189.4314,11.818,19.9526319125,1514.51328921,9.688166362496002,0.11020664754687631,9.102359251442231E8,1.03542864977614E7,8.959153972220694,0.0049404811899957934,Haynes2018,3.0
NGC4580,189.45165,5.36841,18.9670538809,1034.98401558,0.5799999833106994,0.05999999799999999,4.924245989728662E7,5094047.608300023,7.692339739895616,0.0450883154662276,Haynes2018,0.0
NGC4584,189.5745,13.10988,13.8995084653,1721.31028847,0.4000000059604645,0.05999999799999999,1.823773435022715E7,2735660.050622794,7.260970885510504,0.0656394548369903,Haynes2018,0.0
NGC4586,189.6183,4.31902,13.0617141589,784.230166249,1.5600000225843575,0.08000000209255474,6.281118090053163E7,3221086.246179123,7.798036958565089,0.022291066646319635,Haynes2018,3.0
NGC4589,189.3543,74.19186,25.941795672,2000.03667876,nan,nan,nan,nan,nan,nan,nan,
NGC4591,189.80175,6.01223,43.4509758548,2427.61694775,3.5399999618530273,0.090000003,1.5773000951994815E9,4.010085190354373E7,9.197914329530683,0.011043765539506367,Haynes2018,0.0
NGC4592,189.82815,-0.53196,11.6412598851,1066.95263383,162.65,9.117655685,5.201948401354636E9,2.9160513014747566E8,9.716166040070906,0.02437075353638285,Springob2005,0.0
NGC4594,189.99765,-11.62301,8.59013551687,1085.93400091,13.290000000000001,1.6000000000000003,2.3143925061793548E8,2.786326568763712E7,8.364437014430877,0.05254009329516851,Huchtmeier1989,0.0
NGC4595,189.96645,15.29768,15.7036316297,630.381190959,7.099999904632569,0.059999998000000006,4.132097345327715E8,3491913.2184258774,8.616170544222383,0.0036701815501327673,Haynes2018,0.0
NGC4596,189.9831,10.17619,11.7489801934,1877.1573024,0.7500000000000001,0.0,2.4432820798528273E7,0.0,7.387973609687947,0.0,Boselli2014,1.0
NGC4606,190.2396,11.91139,12.5314131803,1650.37991674,0.790000021457672,0.06999999999999999,2.9277851605347306E7,2594239.956244869,7.46653920523558,0.03858297651778253,Haynes2018,0.0
NGC4607,190.3014,11.88627,19.9526319125,2245.7954315,3.2499999999999996,0.07999999799999999,3.053484680207921E8,7516269.814048576,8.484795745416587,0.010692485405192187,Haynes2018,0.0
NGC4608,190.3053,10.15578,20.2302026262,1839.19456823,1.3300000429153445,0.0,1.284588776785018E8,0.0,8.108764123343947,0.0,Boselli2014,1.0
