#galaxy   structure    hexagon    f_CO   f_SFR   r_gal   r_weighted    Sig_SFR   Sig_star      Sig_mol      Sig_mol_4p35   Sig_mol_N12   Sig_mol_B13      F_CO_60pc      F_CO_150pc   Sig_mol_combo
NGC1365          bar    2336  1.000000  1.000000  6.050780  6.252138  0.00155657  181.7120   12.1223   17.9419       NaN       NaN       NaN       NaN   12.3054
NGC1365          bar    2337  1.000000  1.000000  7.671993  7.563327  0.00368875  152.1437    9.7624   14.0635   22.6017       NaN       NaN   18.3494    9.9628
NGC1365          bar    2338  1.000000  0.992191  9.314770  8.876297  0.00528013  133.1788    3.4091    4.7784       NaN       NaN       NaN       NaN    3.3730
NGC1365          bar    2428  1.003558  0.960343 13.455629 13.252789  0.01019068  115.1326    8.2159   10.7471   17.4867       NaN       NaN   21.9755    8.1570
NGC1365          bar    2429  1.000000  1.000000 11.773675 11.957429  0.00561052  129.5250    7.5784   10.1953   17.6706       NaN       NaN   12.5953    7.4723
NGC1365          bar    2430  1.000000  1.000000 10.091722 10.140462  0.00585425  151.9712    7.5053   10.3843   15.2986       NaN       NaN   26.3902    7.4850
NGC1365          bar    2431  1.000000  1.000000  8.409768  8.454314  0.00716004  181.3639   10.4604   14.8848       NaN       NaN       NaN       NaN   10.2603
NGC1365          bar    2432  1.000000  1.000000  6.727814  6.768840  0.00470431  224.2628   18.7937   27.5037   29.3524       NaN       NaN   63.6366   18.6133
NGC1365          bar    2433  1.000000  1.000000  5.045861  5.020835  0.01253086  273.7512   26.8740   40.4480   56.9921       NaN       NaN   25.0594   26.8423
NGC1365          bar    2434  1.000000  1.000000  3.363907  3.285274  0.04338693  472.1463  113.7715  176.1101  129.2625       NaN       NaN  180.4706  113.2571
NGC1365          bar    2438  1.000000  1.000000  3.363907  3.593667  0.03445913  441.4244   84.4485  130.7201  120.9649       NaN       NaN   87.4869   84.6649
NGC1365          bar    2439  1.000000  1.000000  5.045861  4.697802  0.00929870  291.8993   34.9950   52.6710   61.7446       NaN       NaN   44.5272   35.3987
NGC1365          bar    2440  1.000000  1.000000  6.727814  6.810081  0.00331459  214.4376   31.2811   45.7785   42.8508       NaN       NaN   95.8712   31.2615
NGC1365          bar    2441  1.000000  1.000000  8.409768  8.264780  0.00788399  172.0958   18.3682   26.1374   36.4156       NaN       NaN   29.4827   18.2564
NGC1365          bar    2442  1.000000  1.000000 10.091722 10.232735  0.00750683  144.4060   14.1854   19.6269   29.0450       NaN       NaN   26.0238   14.0716
NGC1365          bar    2443  1.000000  1.000000 11.773675 11.852967  0.00595211  132.3692   24.2275   32.5937   30.9338       NaN       NaN  111.1458   24.0922
NGC1365          bar    2444  0.948833  0.856154 13.455629 13.428722  0.01297901  130.3759   35.3884   46.2914   46.8253       NaN       NaN   97.0614   35.4427
NGC1365          bar    2534  1.000000  0.995298  9.314770  8.992207  0.00599731  117.9280    5.1718    7.2490       NaN       NaN       NaN       NaN    5.2143
NGC1365          bar    2535  1.000000  1.000000  7.671993  7.522441  0.00354518  135.7931    6.3826    9.1947       NaN       NaN       NaN       NaN    6.3163
NGC1365          bar    2536  1.000000  1.000000  6.050780  6.050780  0.00346352  161.8044    1.7130    2.5353    4.2271       NaN       NaN    8.9261    1.5828
NGC1365          bar    2537  1.000000  1.000000  4.474634  4.185283  0.01057615  210.5240    8.4742   12.8767   21.2409       NaN       NaN    5.6524    8.2043
NGC1365          bar    2538  1.000000  1.000000  3.015077  2.914551  0.08811793  398.0491   67.5572  105.1840  132.4527       NaN       NaN   32.9686   67.6867
NGC1365          bar    2541  1.000000  1.000000  3.200520  3.062036  0.07293660  416.4242  168.2837  261.2019  128.4252       NaN       NaN  627.3584  169.4376
NGC1365          bar    2542  1.000000  1.000000  4.684380  4.567638  0.01669561  285.0344   88.3227  133.7386   66.2485       NaN       NaN  648.2933   88.9507
NGC1365          bar    2543  1.000000  1.000000  6.269085  6.561838  0.00687254  179.4770   38.7627   57.1634   59.4659       NaN       NaN   67.7417   38.9657
NGC1365          bar    2544  1.000000  1.000000  7.894136  7.757081  0.00757280  129.6738   24.5934   35.2979   31.5672       NaN       NaN  115.5505   24.6252
NGC1365          bar    2545  1.000000  1.000000  9.538935  9.483531  0.00708575  111.0656   18.8655   26.3440   41.8839       NaN       NaN   20.3679   18.9495
NGC1365          bar    2546  0.977299  0.963563 11.194780 11.454550  0.01041818  121.2658   15.0547   20.4498   32.8672       NaN       NaN   20.9632   15.0341
NGC1365          bar    7154  1.001773  0.908546  7.026569  7.365906  0.00593112   96.9516    8.2205   11.9705   17.0202       NaN       NaN   26.2573    8.1701
NGC1365          bar    7155  0.995062  0.991812  5.514351  5.269102  0.00592548  118.8647    5.2593    7.8542       NaN       NaN       NaN       NaN    5.1934
NGC1365          bar    7156  1.000000  1.000000  4.135383  3.980397  0.00504039  163.7935   17.4246   26.6271       NaN       NaN       NaN       NaN   17.6352
NGC1365          bar    7157  1.000000  1.000000  3.074517  3.018131  0.00525153  216.4618   32.8265   51.0590   72.8645       NaN       NaN   22.3506   32.5927
NGC1365          bar    7158  1.000000  1.000000  2.731639  2.611021  0.01580961  234.3273   29.7528   46.5435   48.6819       NaN       NaN   58.2538   29.6533
NGC1365          bar    7159  1.000000  1.000000  3.336013  2.798727  0.01370767  186.6682    9.1223   14.1273   20.2506       NaN       NaN   22.2605    9.3003
NGC1365          bar    7255  1.000000  1.000000 12.284781 12.415781  0.00698681  123.0653    8.1196   10.8307   18.8370       NaN       NaN   14.4417    8.0689
