#galaxy   structure    hexagon    f_CO   f_SFR   r_gal   r_weighted    Sigma_SFR      Sigma_star      Sigma_mol      Sigma_mol_4p35   Sigma_mol_N12   Sigma_mol_B13      F_CO_60pc      F_CO_150pc   Sigma_mol_combo
NGC0628     interarm    1329      -NaN  1.000000  6.619488      -NaN  0.00473426   31.8822    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1330      -NaN  1.000000  7.622598      -NaN  0.00415947   24.0150    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1362  0.971382  0.983505  5.257833  5.154792  0.00670087   56.9661   14.0066   14.0972   27.4904   27.3208   27.0324   19.1395   14.0827
NGC0628     interarm    1370  1.000000  1.000000  4.374481  4.354841  0.01052660   78.9578   11.7014   12.5892   23.8936   21.8684   43.1898   19.9723   11.6763
NGC0628     interarm    1371  1.000000  1.000000  5.221649  4.928256  0.00456365   47.7794    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1404  1.000000  1.159488  7.077625  6.568945  0.00242517   27.5712    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1405  1.000000  1.000000  6.309356  6.069426  0.00256001   34.2135    3.7755    3.5100    7.0689   12.9445   11.6800    7.1385    4.0223
NGC0628     interarm    1448  1.000000  1.000000  7.051209  6.622652  0.00210625   23.8642    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1449  1.000000  1.000000  6.594883  6.554085  0.00767221   46.1349    7.9666    7.2484   14.7265   29.4937       NaN    6.3365    8.0629
NGC0628     interarm    1452  1.116177 -1.493320  6.088416  5.659789  0.00354493   36.9926    0.0000    0.0000    0.0000       NaN   37.5334   20.5011    0.0000
NGC0628     interarm    1453      -NaN  1.402349  6.246072      -NaN  0.00318784   35.4576    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1454      -NaN  1.009818  6.557510      -NaN  0.00474683   38.4396    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1456      -NaN  0.997672  7.556768      -NaN  0.00377324   25.5005    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1457      -NaN  1.000000  8.198842      -NaN  0.00201949   16.5625    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
