HRS no HIdef: galaxyname  logMHIMstar  logMdustMstar   logMHIMstar_low  logMdustMstar_low  logMHIMstar_high  logMdustMstar_high
HRS165     -0.6070004     -2.7711148      0.1583870      0.2302061      0.1523562      0.4533087
HRS180     -2.8199997     -5.0966792      0.0994782      0.1475242      0.0674736      0.1481549
HRS186     -2.1399994     -5.5058851      0.0674741      0.1876518      0.0674741      0.4467170
HRS191     -0.4520006     -2.9224424      0.1645342      0.2248812      0.1707949      0.4427547
HRS199     -1.2770004     -3.1574974      0.1771669      0.2277610      0.0994782      0.3932416
HRS208     -1.9200001     -3.1588812      0.2618603      0.2687411      0.0650890      0.0912181
HRS209     -2.2200003     -4.2397728      0.2467121      0.3406066      0.1294694      0.9159825
HRS222     -1.8770003     -3.4394751      0.0692503      0.1746863      0.1040536      0.2960332
HRS223     -0.3570004     -2.5376940      0.1645342      0.2905528      0.1583870      0.8544961
HRS225     -1.0670004     -3.9102139      0.2933935      0.4466033      0.0798709      5.4183621
HRS231     -2.9799995     -5.2160249      0.0650885      0.0997577      0.0650885      0.1370043
HRS243     -2.5699997     -3.6922350      0.1088126      0.1457321      0.1188350      0.2864447
HRS277     -1.1869998     -3.4283986      0.1523560      0.2558859      0.1406566      0.4348402
HRS278     -1.7669997     -3.1323690      0.2176477      0.2429821      0.1645340      0.2561599
HRS305     -1.5470004     -3.3810511      0.2542347      0.3749689      0.1137427      0.6950790
HRS311     -1.7399998     -3.3892856      0.1523562      0.1620734      0.0994785      0.1250520
HRS313     -0.6870003     -2.6061511      0.1707950      0.1936231      0.1188349      0.3063402
KINGFISH: galaxyname  logMHIMstar  logMdustMstar   logMHIMstar_low  logMdustMstar_low  logMHIMstar_high  logMdustMstar_high
NGC1482     -1.1902332     -2.9542274      0.1123741      0.1369981      0.1123741      0.1489109
NGC5866     -2.2001867     -4.0479188      0.1123741      0.1313283      0.1123741      0.1315316
JINGLE: galaxyname  logMHIMstar  logMdustMstar   logMHIMstar_low  logMdustMstar_low  logMHIMstar_high  logMdustMstar_high
JINGLE3     -0.4560003     -2.4744258      0.1132701      0.1410546      0.1132701      0.1630881
